Utility,State or Private,State,Year,Cost-Gross Input Energy (MU),Cost-Cost of Power,Cost-Employee Cost,Cost-Interest Cost,Cost-Depreciation,Cost-Other Costs,Cost-ACS,Cost on energy sold-Cost of Power,Cost on energy sold-Employee Cost,Cost on energy sold-Interest Cost,Cost on energy sold-Depreciation,Cost on energy sold-Other Cost,Cost on energy sold-ACS,AT&C-Net Input Energy (MU),AT&C-Net Energy Sold (MU),AT&C-Billing Efficiency (%),AT&C-Collection Efficiency (%),AT&C-AT&C Loss (%),MU by category-Gross Energy sold (MU),MU by category-Domestic (%),MU by category-Commercial (%),MU by category-Agricultural (%),MU by category-Industrial (%),MU by category-Others (%),Revenues-Revenue from Sale of Power including Tariff Subsidy Billed (Rs crore),Revenues-Domestic (%),Revenues-Commercial (%),Revenues-Agricultural (%),Revenues-Industrial (%),Revenues-Others (%),Revenues-Tariff Subsidy (%),Revenues per unit-Domestic,Revenues per unit-Commercial,Revenues per unit-Agricultural,Revenues per unit-Industrial,Revenues per unit-Others,Revenues per unit-Average Revenue per Unit Sold
APCPDCL,State,Andhra Pradesh,2021,14098.0,4.98,0.66,0.47,0.31,0.16,6.59,5.52,0.74,0.52,0.34,0.18,7.3,13864.0,12720.0,91.75,87.12,20.07,12720.0,40.42,8.22,24.45,22.55,4.35,7919,24.28,13.83,5.85,28.58,6.85,20.61,3.74,10.47,1.49,7.89,9.8,4.94
APEPDCL,State,Andhra Pradesh,2021,22796.0,4.81,1.42,0.28,0.14,0.14,6.78,5.37,1.58,0.31,0.16,0.16,7.57,21862.0,20416.0,93.39,84.75,20.85,20417.0,31.18,7.39,20.2,34.3,6.93,13511,16.41,11.99,7.35,35.51,6.4,22.34,3.48,10.73,2.41,6.85,6.11,5.14
APSPDCL,State,Andhra Pradesh,2021,31671.0,4.83,0.8,0.3,0.22,0.11,6.28,5.22,0.87,0.33,0.24,0.12,6.77,23379.0,21460.0,91.79,68.12,37.48,29357.0,17.13,3.75,30.44,16.26,32.43,18712,8.72,5.88,7.57,18.07,29.75,30.01,3.24,10.01,1.58,7.08,5.85,4.46
APDCL,State,Assam,2021,11004.0,5.28,0.59,0.18,0.26,0.46,6.77,6.61,0.74,0.23,0.33,0.57,8.48,9156.0,7458.0,81.45,99.78,18.73,8786.0,59.32,,0.42,11.51,28.74,5708,38.87,16.07,0.47,21.7,15.57,7.32,4.26,,7.16,12.25,3.52,6.02
NBPDCL,State,Bihar,2021,15395.0,5.1,0.27,0.23,0.44,0.26,6.29,6.95,0.36,0.32,0.6,0.35,8.58,13846.0,10656.0,76.96,87.74,32.47,11288.0,70.41,10.29,2.77,8.95,7.58,7655,32.92,10.61,0.34,10.62,7.64,37.86,3.17,6.99,0.84,8.05,6.84,4.21
SBPDCL,State,Bihar,2021,18809.0,5.18,0.32,0.21,0.28,0.21,6.2,7.46,0.47,0.3,0.4,0.3,8.93,17687.0,13054.0,73.81,84.58,37.57,13054.0,65.16,9.47,7.13,16.04,2.2,8950,33.47,9.56,0.59,18.68,2.81,34.89,3.52,6.92,0.56,7.98,8.75,4.46
Chattisgarh,State,Chandigarh,2021,33976.0,4.25,0.39,0.13,0.13,0.02,4.91,4.94,0.45,0.15,0.15,0.02,5.71,28093.0,23361.0,83.16,95.73,20.4,29244.0,21.32,3.08,16.98,22.97,35.65,15013,5.19,6.08,3.84,38.99,19.3,26.61,1.25,10.14,1.16,8.71,2.78,3.77
CSPDCL,State,Chandigarh,2021,33976.0,4.25,0.39,0.13,0.13,0.02,4.91,4.94,0.45,0.15,0.15,0.02,5.71,28093.0,23361.0,83.16,95.73,20.4,29244.0,21.32,3.08,16.98,22.97,35.65,15013,5.19,6.08,3.84,38.99,19.3,26.61,1.25,10.14,1.16,8.71,2.78,3.77
DNHPDCL,State,Dadra & Nagar Haveli,2021,5778.0,4.49,0.02,0.01,0.02,0.05,4.59,4.83,0.03,0.01,0.02,0.05,4.93,5496.0,5298.0,96.38,98.38,5.17,5374.0,2.91,0.61,0.09,94.75,1.64,2878,1.39,0.49,0.13,98.78,0.8,,2.56,4.31,7.88,5.58,-2.61,5.36
DGVCL,State,Gujarat,2021,19887.0,5.63,0.22,0.05,0.17,0.09,6.16,6.37,0.25,0.05,0.19,0.11,6.97,18970.0,17566.0,92.6,100.0,7.4,17566.0,18.6,25.85,5.25,48.35,1.94,11754,15.39,,0.58,79.9,1.01,3.13,5.53,-,0.74,11.06,3.48,6.48
MGVCL,State,Gujarat,2021,11703.0,4.7,0.41,0.05,0.23,0.14,5.52,5.48,0.48,0.05,0.27,0.17,6.44,11057.0,9956.0,90.04,100.0,9.96,10034.0,29.2,0.87,13.76,51.88,4.3,6256,25.79,0.91,1.66,61.39,3.75,6.5,5.51,6.57,0.75,7.38,5.43,5.83
PGVCL,State,Gujarat,2021,36539.0,4.1,0.22,0.04,0.25,0.11,4.71,5.23,0.28,0.05,0.31,0.14,6.02,33985.0,27913.0,82.14,99.47,18.3,28622.0,14.6,0.5,27.54,52.68,4.69,16726,13.47,0.5,3.29,65.01,1.77,15.96,5.39,5.9,0.7,7.21,2.2,4.91
UGVCL,State,Gujarat,2021,26534.0,4.39,0.2,0.03,0.14,0.07,4.83,4.95,0.22,0.04,0.16,0.08,5.44,24472.0,22822.0,93.26,99.29,7.41,23536.0,11.29,0.36,42.51,39.13,6.71,12496,11.54,0.42,4.41,52.97,2.92,27.74,5.43,6.14,0.55,7.19,2.31,3.84
DHBVNL,State,Haryana,2021,31198.0,4.35,0.39,0.1,0.15,0.09,5.08,5.41,0.49,0.13,0.19,0.11,6.32,29249.0,24296.0,83.07,100.0,16.93,25087.0,26.59,10.55,25.5,25.91,11.45,13612,20.86,12.81,1.77,32.7,11.41,20.45,4.26,6.59,0.38,6.85,5.4,4.32
UHBVNL,State,Haryana,2021,22564.0,4.38,0.53,0.19,0.17,0.13,5.4,5.46,0.66,0.24,0.22,0.16,6.73,21209.0,17560.0,82.79,100.0,17.21,18078.0,29.34,7.52,19.97,34.09,9.08,12180,19.5,8.77,0.76,39.7,8.42,22.85,4.48,7.85,0.26,7.85,6.25,5.2
HPSEBL,State,Himachal Pradesh,2021,13695.0,2.99,1.36,0.35,0.31,0.13,5.14,3.39,1.54,0.39,0.35,0.15,5.83,10044.0,8635.0,85.98,100.0,14.02,12067.0,19.3,4.29,0.6,39.52,36.28,6455,10.48,5.38,0.54,41.92,34.12,7.56,2.9,6.7,4.75,5.67,5.03,4.94
JBVNL,State,Jharkhand,2021,13290.0,4.48,0.2,0.32,0.82,0.27,6.09,7.42,0.34,0.53,1.36,0.44,10.09,12126.0,7913.0,65.26,89.85,41.36,8026.0,60.82,8.44,1.87,25.1,3.77,4755,26.86,7.75,0.2,31.63,5.04,28.52,2.62,5.44,0.64,7.46,7.92,4.24
BESCOM,State,Karnataka,2021,29963.0,5.78,0.5,0.33,0.27,0.37,7.26,6.86,0.59,0.39,0.33,0.44,8.62,28587.0,25234.0,88.27,97.59,13.86,25234.0,29.82,12.43,27.79,17.89,12.07,19203,27.8,20.09,0.21,24.32,11.23,16.36,7.09,12.3,0.06,10.34,7.08,6.37
CHESCOM,State,Karnataka,2021,7546.0,4.91,0.78,0.27,0.39,0.44,6.8,5.88,0.93,0.33,0.47,0.53,8.14,7224.0,6303.0,87.25,91.38,20.27,6303.0,19.16,5.87,48.7,11.54,14.74,4293,17.18,6.94,0.33,18.21,14.91,42.43,6.11,8.05,0.05,10.75,6.89,3.92
GESCOM,State,Karnataka,2021,8718.0,5.04,0.78,0.5,0.28,0.3,6.89,6.09,0.94,0.6,0.34,0.36,8.33,7933.0,7002.0,88.26,90.03,20.53,7214.0,22.0,5.7,42.21,15.08,15.01,5008,14.44,8.65,0.2,20.73,15.09,40.89,4.56,10.53,0.03,9.54,6.98,4.1
HESCOM,State,Karnataka,2021,13026.0,5.25,0.72,0.87,0.2,0.09,7.12,6.23,0.85,1.03,0.23,0.11,8.45,12650.0,10974.0,86.75,98.96,14.15,10974.0,17.67,5.14,57.19,11.99,8.0,7666,14.44,7.71,2.7,13.67,7.84,53.63,5.71,10.48,0.33,7.96,6.84,3.24
MESCOM,State,Karnataka,2021,5864.0,5.3,0.8,0.22,0.33,0.35,7.01,6.15,0.92,0.26,0.38,0.41,8.12,5611.0,5058.0,90.14,97.53,12.08,5058.0,31.88,9.7,33.34,14.54,10.55,3567,27.22,16.71,1.07,19.74,7.58,27.68,6.02,12.15,0.23,9.57,5.07,5.1
KSEBL,State,Kerala,2021,25970.0,3.1,1.98,0.66,0.39,0.4,6.54,3.54,2.27,0.76,0.44,0.46,7.47,24016.0,22152.0,92.24,100.0,7.76,22748.0,55.83,13.11,1.77,4.78,24.51,13852,40.98,21.15,0.83,27.77,5.45,3.83,4.47,9.82,2.84,35.4,1.35,5.86
MPMaKVVCL,State,Madhya Pradesh,2021,28289.0,4.2,0.31,0.46,0.21,0.45,5.63,6.2,0.46,0.68,0.31,0.66,8.31,26862.0,19150.0,71.29,71.48,49.04,19165.0,29.06,4.78,43.57,18.25,4.34,13112,15.59,6.29,3.37,19.69,5.36,49.7,3.67,9.01,0.53,7.38,8.45,3.44
MPPaKVVCL,State,Madhya Pradesh,2021,27618.0,4.93,0.44,0.32,0.14,0.11,5.93,5.91,0.53,0.38,0.17,0.13,7.11,26388.0,23033.0,87.29,79.87,30.28,23033.0,24.39,4.31,44.49,20.93,5.88,15571,12.52,6.08,3.52,23.25,4.49,50.15,3.47,9.54,0.53,7.51,5.16,3.37
MPPoKVVCL,State,Madhya Pradesh,2021,24616.0,4.71,0.44,0.46,0.23,0.18,6.02,6.97,0.66,0.67,0.34,0.26,8.9,23486.0,16630.0,70.81,77.13,45.39,16630.0,31.26,6.5,38.85,16.01,7.38,10876,13.47,8.06,2.02,23.42,4.55,48.47,2.82,8.11,0.34,9.57,4.04,3.37
MSEDCL,State,Maharashtra,2021,132485.0,4.73,0.41,0.43,0.26,0.5,6.33,5.94,0.51,0.54,0.32,0.63,7.95,124579.0,105199.0,84.44,86.21,27.2,105484.0,20.3,4.58,32.15,36.11,6.85,73158,21.73,9.29,8.85,38.65,8.51,12.96,7.42,14.06,1.91,7.42,8.61,6.04
MSPDCL,State,Manipur,2021,1089.0,5.7,0.58,0.03,0.17,0.22,6.7,7.17,0.73,0.03,0.21,0.28,8.43,869.0,748.0,86.07,92.57,20.33,865.0,63.06,14.02,0.08,2.26,20.58,705,36.16,10.14,0.09,2.2,13.25,38.17,4.67,5.89,8.56,7.9,5.24,5.03
MePDCL,State,Meghalaya,2021,2512.0,4.1,0.84,0.35,0.12,0.23,5.63,5.47,1.12,0.47,0.15,0.31,7.52,1919.0,1326.0,69.12,100.0,30.88,1881.0,26.59,4.34,0.01,33.02,36.05,912,27.74,10.1,0.01,37.5,22.7,1.95,5.06,11.29,4.58,5.51,3.05,4.75
CESU,State,Odisha,2021,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
TPCODL,State,Odisha,2021,8370.0,2.43,0.57,0.04,0.09,0.37,3.49,3.28,0.76,0.05,0.12,0.49,4.71,8370.0,6202.0,74.1,98.81,26.78,6202.0,51.17,15.67,0.71,20.84,11.61,2654,43.35,22.24,0.37,27.92,6.12,,3.62,6.07,2.2,5.73,2.26,4.28
NESCO Utility,State,Odisha,2021,4941.0,3.69,0.58,0.14,0.01,0.38,4.81,4.65,0.73,0.18,0.01,0.48,6.06,4941.0,3922.0,79.37,93.76,25.59,3922.0,40.14,9.27,3.85,34.78,11.95,2076,27.12,9.59,1.55,43.33,18.42,,3.58,5.47,2.13,6.59,8.16,5.29
SOUTHCO Utility,State,Odisha,2021,2697.0,3.55,0.94,0.12,0.01,0.63,5.25,4.67,1.24,0.16,0.01,0.83,6.91,2697.0,2051.0,76.06,84.97,35.37,2051.0,60.87,9.83,3.84,13.26,12.21,957,50.37,15.02,1.53,19.34,13.73,,3.86,7.13,1.86,6.81,5.25,4.66
TPSODL,State,Odisha,2021,902.0,2.2,0.87,0.05,0.08,0.35,3.56,2.77,1.1,0.07,0.1,0.44,4.47,902.0,718.0,79.53,75.07,40.3,718.0,52.45,10.43,4.54,16.56,16.01,325,43.45,15.95,1.8,31.07,7.73,,3.75,6.92,1.79,8.49,2.19,4.53
WESCO Utility,State,Odisha,2021,5608.0,3.48,0.68,0.14,0.01,0.74,5.05,4.58,0.9,0.18,0.01,0.97,6.65,5608.0,4262.0,76.01,91.73,30.27,4262.0,32.19,7.52,6.87,41.68,11.75,2240,25.35,9.63,2.17,51.13,11.72,,4.14,6.73,1.66,6.45,5.24,5.26
TPWODL,State,Odisha,2021,2017.0,3.43,0.4,0.05,0.08,0.25,4.21,4.7,0.54,0.07,0.11,0.35,5.77,2017.0,1474.0,73.04,91.26,33.34,1474.0,25.36,6.53,8.11,47.0,13.01,846,18.38,8.57,2.3,52.57,18.18,,4.16,7.54,1.63,6.42,8.03,5.74
PSPCL,State,Punjab,2021,58137.0,4.14,0.83,0.29,0.22,0.17,5.65,4.84,0.97,0.34,0.26,0.2,6.6,56179.0,49729.0,88.52,92.6,18.03,49729.0,30.81,6.6,26.24,33.03,3.31,31565,24.05,8.58,0.0,33.6,1.25,35.02,4.95,8.25,0,6.46,-2.4,4.12
AVVNL,State,Rajasthan,2021,23097.0,4.66,0.43,0.98,0.3,0.3,6.67,5.8,0.54,1.22,0.37,0.38,8.31,21418.0,18174.0,84.85,92.34,21.65,18548.0,22.93,5.6,35.14,26.69,9.65,12021,17.28,7.28,2.21,30.66,8.97,33.6,4.88,8.43,0.41,7.45,6.02,4.3
JdVVNL,State,Rajasthan,2021,30266.0,4.78,0.36,1.07,0.31,0.16,6.68,6.51,0.49,1.46,0.42,0.22,9.09,28105.0,21794.0,77.54,88.98,31.0,22244.0,16.88,4.69,57.23,9.55,11.65,15029,15.83,6.24,5.32,10.88,11.1,50.63,6.34,9,0.63,7.69,6.43,3.34
JVVNL,State,Rajasthan,2021,33630.0,4.85,0.25,0.95,0.31,0.3,6.67,6.36,0.33,1.25,0.41,0.39,8.74,31176.0,25116.0,80.56,92.99,25.08,25672.0,21.01,6.93,36.06,24.4,11.61,17325,19.83,9.1,3.17,28.78,10.84,28.27,6.37,8.87,0.59,7.96,6.3,4.84
TANGEDCO,State,Tamil Nadu,2021,88099.0,4.51,1.04,1.23,0.32,0.08,7.17,5.4,1.24,1.47,0.38,0.09,8.58,84060.0,73622.0,87.58,98.41,13.81,73622.0,41.81,14.15,18.98,20.65,4.41,37316,18.61,26.75,,25.3,7.18,22.16,2.26,9.58,-,6.21,8.26,3.95
TSNPDCL,State,Telangana,2021,21975.0,5.06,0.82,0.32,0.15,0.09,6.43,5.81,0.95,0.36,0.17,0.11,7.39,20638.0,18774.0,90.97,100.0,9.03,19120.0,19.71,3.39,41.34,11.36,24.19,10956,11.99,5.85,16.68,15.68,10.97,38.83,3.48,9.88,2.31,7.91,2.6,3.51
TSSPDCL,State,Telangana,2021,44493.0,5.33,0.5,0.43,0.24,0.03,6.47,5.88,0.56,0.47,0.26,-0.04,7.13,41246.0,38275.0,92.8,91.08,15.48,40330.0,22.1,10.06,29.12,25.52,13.2,20474,20.56,20.81,0.21,41.24,10.35,6.83,4.72,10.5,0.04,8.2,3.98,4.73
TSECL,State,Tripura,2021,3001.0,3.9,0.57,0.05,0.08,0.24,4.84,4.8,0.7,0.06,0.1,0.29,5.96,1373.0,982.0,71.54,87.55,37.36,2438.0,21.32,2.61,1.38,1.57,73.12,1438,20.48,5.14,1.2,2.3,67.11,3.77,5.67,11.6,5.13,8.62,5.41,5.67
DVVNL,State,Uttar Pradesh,2021,25888.0,4.63,0.07,0.67,0.19,0.42,5.97,6.25,0.09,0.9,0.25,0.57,8.06,25888.0,19183.0,74.1,91.92,31.89,19183.0,37.23,7.01,26.91,15.0,13.86,12523,29.64,9.03,15.22,21.24,11.42,13.46,5.2,8.41,3.69,9.25,5.38,5.65
KESCO,State,Uttar Pradesh,2021,3383.0,7.78,0.38,0.66,0.15,0.61,9.58,8.68,0.42,0.74,0.17,0.69,10.7,3383.0,3029.0,89.55,97.77,12.45,3029.0,49.5,13.51,,26.62,10.37,2517,41.63,12.28,,38.05,8.03,,6.99,7.55,,11.87,6.44,8.31
MVVNL,State,Uttar Pradesh,2021,23521.0,5.75,0.13,0.57,0.22,0.46,7.13,7.21,0.17,0.71,0.28,0.57,8.94,23512.0,18756.0,79.77,84.57,32.54,18765.0,56.04,9.66,16.57,10.07,7.66,13845,44.01,12.5,10.59,19.08,4.1,9.72,5.79,9.55,4.72,13.98,3.95,6.66
PaVVNL,State,Uttar Pradesh,2021,33464.0,6.14,0.13,0.39,0.17,0.37,7.18,7.47,0.15,0.47,0.2,0.44,8.74,33464.0,27492.0,82.15,100.0,17.85,27492.0,41.47,6.76,23.34,21.16,7.28,19450,33.85,10.94,5.35,32.46,6.21,11.19,5.78,11.45,1.62,10.85,6.04,6.28
PuVVNL,State,Uttar Pradesh,2021,27603.0,5.11,0.26,0.63,0.3,0.45,6.74,6.44,0.33,0.8,0.37,0.56,8.5,27601.0,21900.0,79.35,85.14,32.44,21903.0,58.21,10.35,18.78,8.27,4.39,13502,38.45,15.63,11.01,13.04,3.69,18.18,4.07,9.31,3.61,9.72,5.18,5.04
UPCL,State,Uttarakhand,2021,14076.0,3.96,0.25,0.13,0.16,0.23,4.74,4.76,0.3,0.16,0.2,0.28,5.7,13288.0,11433.0,86.04,98.34,15.39,11718.0,28.23,10.37,1.92,49.18,10.3,6249,22.09,12.2,0.74,55.93,9.04,,4.17,6.27,2.05,6.07,4.68,5.33
WBSEDCL,State,West Bengal,2021,44221.0,4.81,0.4,0.36,0.25,0.32,6.12,6.16,0.51,0.46,0.31,0.41,7.85,37492.0,29628.0,79.02,99.53,21.35,34520.0,37.29,11.21,3.86,26.77,20.88,21458,33.65,16.5,2.94,28.34,12.16,6.4,5.61,9.15,4.74,6.58,3.62,5.82
BRPL,Private,Delhi,2021,12826.0,5.47,0.43,1.13,0.29,0.39,7.71,6.12,0.48,1.27,0.32,0.44,8.62,11992.0,11052.0,92.16,97.99,9.7,11475.0,66.82,19.18,0.2,3.66,10.15,8732,33.23,35.29,0.08,5.93,8.96,16.5,3.79,14.01,3.06,12.32,6.72,6.35
BYPL,Private,Delhi,2021,7609.0,4.36,0.51,1.46,0.26,0.47,7.06,4.86,0.57,1.63,0.29,0.52,7.88,6421.0,5872.0,91.44,99.06,9.41,6819.0,58.12,17.91,0.0,4.67,19.3,4769,26.04,37.46,0.0,8.13,11.08,17.29,3.13,14.63,2.96,12.18,4.02,5.78
